PK_LatinskNavnID;Rike;Underrike;Rekke;Underrekke;Overklasse;Klasse;Underklasse;Infraklasse;Kohort;Overorden;Orden;Underorden;Infraorden;Overfamilie;Familie;Underfamilie;Tribus;Undertribus;Slekt;Underslekt;Seksjon;Art;Underart;Varietet;Form;FK_OverordnaLatinskNavnID;FK_TypeEksID;SistEndraMeningDato;Autorstreng;Hovedstatus;Bistatus;SistEndraDato;DagensDato;Forfatter;Aar;Referanse;Kommentar;PK_TaksonID;FK_GyldigLatinskNavnID;FinnesINorge;
"147222";"Plantae";;"Chlorophyta";;;"Mamiellophyceae";;;;;"Dolichomastigales";;;;"Dolichomastigaceae";;;;;;;;;;;"147221";"138807";;"B.Marin & Melkonian";"Gyldig";"Ingen_bistatus";"1/30/2015 12:00:00 AM";"1/30/2015 12:00:00 AM";;;;;107153;147222;"Nei";
"118087";"Plantae";;"Chlorophyta";;;"Mamiellophyceae";;;;;"Dolichomastigales";;;;"Dolichomastigaceae";;;;"Dolichomastix";;;;;;;"147222";"109394";"9/11/2009 12:00:00 AM";"Manton";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"9/11/2009 12:00:00 AM";;;;;76681;118087;"Nei";
"118088";"Plantae";;"Chlorophyta";;;"Mamiellophyceae";;;;;"Dolichomastigales";;;;"Dolichomastigaceae";;;;"Dolichomastix";;;"lepidota";;;;"118087";"109395";"9/11/2009 12:00:00 AM";"Manton";"Gyldig";"Ingen_bistatus";"9/11/2009 12:00:00 AM";"9/11/2009 12:00:00 AM";"1977";;;"M, C";76682;118088;"Ja";
"118089";"Plantae";;"Chlorophyta";;;"Mamiellophyceae";;;;;"Dolichomastigales";;;;"Dolichomastigaceae";;;;"Dolichomastix";;;"nummullifera";;;;"118087";"109396";"9/11/2009 12:00:00 AM";"Manton";"Gyldig";"Ingen_bistatus";"9/11/2009 12:00:00 AM";"9/11/2009 12:00:00 AM";"1977";;;"M, C";76683;118089;"Ja";
"149696";"Plantae";;"Chlorophyta";;;"Mamiellophyceae";;;;;"Dolichomastigales";;;;"Dolichomastigaceae";;;;"Dolichomastix";;;"nummulifera";;;;"118087";"141283";;"Manton";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"2/9/2015 12:00:00 AM";;;;;109656;149696;"Ja";
"118084";"Plantae";;"Chlorophyta";;;"Mamiellophyceae";;;;;"Mamiellales";;;;"Mamiellaceae";;;;;;;;;;;"1232";"109391";"9/11/2009 12:00:00 AM";"Moestrup";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"9/11/2009 12:00:00 AM";;;;;76678;118084;"Nei";
"147246";"Plantae";;"Chlorophyta";;;"Mamiellophyceae";;;;;"Mamiellales";;;;"Bathycoccaceae";;;;;;;;;;;"1232";"138831";;"B.Marin & Melkonian";"Gyldig";"Ingen_bistatus";"2/2/2015 12:00:00 AM";"2/2/2015 12:00:00 AM";;;;;107177;147246;"Nei";
"118085";"Plantae";;"Chlorophyta";;;"Mamiellophyceae";;;;;"Mamiellales";;;;"Bathycoccaceae";;;;"Bathycoccus";;;;;;;"147246";"109392";"9/11/2009 12:00:00 AM";"Eikrem & Throndsen";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"9/11/2009 12:00:00 AM";;;;;76679;118085;"Nei";
"118096";"Plantae";;"Chlorophyta";;;"Mamiellophyceae";;;;;"Mamiellales";;;;"Bathycoccaceae";;;;"Ostreococcus";;;;;;;"147246";"109403";"9/11/2009 12:00:00 AM";"Courties & Chret.-Dinet.";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"9/11/2009 12:00:00 AM";;;;;76690;118096;"Nei";
"118097";"Plantae";;"Chlorophyta";;;"Mamiellophyceae";;;;;"Mamiellales";;;;"Bathycoccaceae";;;;"Ostreococcus";;;"taurii";;;;"118096";"109404";"9/11/2009 12:00:00 AM";"Guillou & Chrëtiennot-Dinet";"Gyldig";"Ingen_bistatus";"9/11/2009 12:00:00 AM";"9/11/2009 12:00:00 AM";"1995";;;"M, C";76691;118097;"Ja";
