scientific_name	rank	author	parent	classification	source	dyntaxa_id	dyntaxa_scientific_name	dyntaxa_url
Gloeothece palea	Species	(Kütz.) Rabenh.	Gloeothece	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Cyanobacteriaceae - Gloeothece palea	Artsnavnebase 20170303	263402	Gloeothece palea	https://www.dyntaxa.se/taxon/info/263402
Gloeothece rupestris	Species	(Lyngb.) Bornet in Wittr.& Nordst.	Gloeothece	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Cyanobacteriaceae - Gloeothece rupestris	Artsnavnebase 20170303	257643	Gloeothece rupestris	https://www.dyntaxa.se/taxon/info/257643
Gloeothece tepidariorum	Species	(A.Braun) Lagerh.	Gloeothece	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Cyanobacteriaceae - Gloeothece tepidariorum	Artsnavnebase 20170303	263403	Gloeothece tepidariorum	https://www.dyntaxa.se/taxon/info/263403
Holopedia	Genus		Cyanobacteriaceae	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Cyanobacteriaceae - Holopedia	Artsnavnebase 20170303			
Dermocarpellaceae	Family	T.A.Chr.	Chroococcales	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Dermocarpellaceae	Artsnavnebase 20170303	2003557	Dermocarpellaceae	https://www.dyntaxa.se/taxon/info/2003557
Cyanocystis	Genus	Borzí	Dermocarpellaceae	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Dermocarpellaceae - Cyanocystis	Artsnavnebase 20170303	1016261	Cyanocystis	https://www.dyntaxa.se/taxon/info/1016261
Cyanocystis aquae-dulcis	Species	(Reinsch) Kann	Cyanocystis	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Dermocarpellaceae - Cyanocystis aquae-dulcis	Artsnavnebase 20170303			
Cyanocystis olivacea	Species	(Reinsch) Komárek & Anagnostidis	Cyanocystis	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Dermocarpellaceae - Cyanocystis olivacea	Artsnavnebase 20170303			
Cyanocystis violacea	Species	(P.L. Crouan & H.M. Crouan) Komárek & Anagnostidis	Cyanocystis	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Dermocarpellaceae - Cyanocystis violacea	Artsnavnebase 20170303	263453	Cyanocystis violacea	https://www.dyntaxa.se/taxon/info/263453
Dermocarpa	Genus		Dermocarpellaceae	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Dermocarpellaceae - Dermocarpa	Artsnavnebase 20170303			
Dermocarpa acervata	Species	(Setchell & Gardner) Pham-Hoàng Hô	Dermocarpa	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Dermocarpellaceae - Dermocarpa acervata	Artsnavnebase 20170303			
Dermocarpella	Genus		Dermocarpellaceae	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Dermocarpellaceae - Dermocarpella	Artsnavnebase 20170303			
Dermocarpella prasina	Species	(Reinsch) Komárek & Anagnostidis	Dermocarpella	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Dermocarpellaceae - Dermocarpella prasina	Artsnavnebase 20170303			
Onchobyrsa	Genus		Dermocarpellaceae	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Dermocarpellaceae - Onchobyrsa	Artsnavnebase 20170303			
Sphaenosiphon	Genus		Dermocarpellaceae	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Dermocarpellaceae - Sphaenosiphon	Artsnavnebase 20170303			
Stainieria	Genus	Komárek & Anagn.	Dermocarpellaceae	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Dermocarpellaceae - Stainieria	Artsnavnebase 20170303	1016262	Stainieria	https://www.dyntaxa.se/taxon/info/1016262
Stainieria sublitoralis	Species	(A.Lindst.) Anagn. & Pantaz.	Stainieria	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Dermocarpellaceae - Stainieria sublitoralis	Artsnavnebase 20170303	263454	Stainieria sublitoralis	https://www.dyntaxa.se/taxon/info/263454
Stainieria suecica	Species	(Kylin) Komárek & Anagn.	Stainieria	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Dermocarpellaceae - Stainieria suecica	Artsnavnebase 20170303	263455	Stainieria suecica	https://www.dyntaxa.se/taxon/info/263455
Stanieria	Genus		Dermocarpellaceae	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Dermocarpellaceae - Stanieria	Artsnavnebase 20170303			
Stanieria sublitoralis	Species	(Lindstedt) K. Anagnostidis & A. Pantazidou	Stanieria	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Dermocarpellaceae - Stanieria sublitoralis	Artsnavnebase 20170303			
Entophysalidaceae	Family	Geitler	Chroococcales	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Entophysalidaceae	Artsnavnebase 20170303	2003555	Entophysalidaceae	https://www.dyntaxa.se/taxon/info/2003555
Chlorogloea	Genus	Wille	Entophysalidaceae	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Entophysalidaceae - Chlorogloea	Artsnavnebase 20170303	1016263	Chlorogloea	https://www.dyntaxa.se/taxon/info/1016263
Chlorogloea microcystoides	Species	Geitler	Chlorogloea	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Entophysalidaceae - Chlorogloea microcystoides	Artsnavnebase 20170303	263456	Chlorogloea microcystoides	https://www.dyntaxa.se/taxon/info/263456
Chlorogloea purpurea	Species	Geitler	Chlorogloea	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Entophysalidaceae - Chlorogloea purpurea	Artsnavnebase 20170303			
Chlorogloea tuberculosa	Species	(Hansgirg) Wille	Chlorogloea	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Entophysalidaceae - Chlorogloea tuberculosa	Artsnavnebase 20170303			
Entophysalis	Genus	Kütz.	Entophysalidaceae	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Entophysalidaceae - Entophysalis	Artsnavnebase 20170303	1016264	Entophysalis	https://www.dyntaxa.se/taxon/info/1016264
Entophysalis granulosa	Species	Kützing	Entophysalis	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Entophysalidaceae - Entophysalis granulosa	Artsnavnebase 20170303	263457	Entophysalis granulosa	https://www.dyntaxa.se/taxon/info/263457
Paracapsa	Genus	Naumann	Entophysalidaceae	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Entophysalidaceae - Paracapsa	Artsnavnebase 20170303	1016265	Paracapsa	https://www.dyntaxa.se/taxon/info/1016265
Paracapsa siderophila	Species	Naumann	Paracapsa	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Entophysalidaceae - Paracapsa siderophila	Artsnavnebase 20170303	263458	Paracapsa siderophila	https://www.dyntaxa.se/taxon/info/263458
