kingdom	phylum	class_name	order	family	genus	species	subspecies	variety	forma	author	status	status-2	nomac_scientific_name	nomac_rank	nomac_parent	nomac_classification
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Halosphaeraceae	Pachysphaera	pelagica				C.H. Ostenfeld	Gyldig	Ingen_bistatus	Pachysphaera pelagica	Species	Pachysphaera	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Halosphaeraceae - Pachysphaera pelagica
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis					F.Stein	Gyldig	Ingen_bistatus	Tetraselmis	Genus	Chlorodendraceae	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae - Tetraselmis
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Scherffelia					Pascher	Gyldig	Ingen_bistatus	Scherffelia	Genus	Chlorodendraceae	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae - Scherffelia
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Scherffelia	pelagica				Skuja	Gyldig	Ingen_bistatus	Scherffelia pelagica	Species	Scherffelia	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae - Scherffelia pelagica
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Scherffelia	dubia				(Perty) Pascher	Gyldig	Ingen_bistatus	Scherffelia dubia	Species	Scherffelia	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae - Scherffelia dubia
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	gracilis				(Kylin) Butcher	Gyldig	Ingen_bistatus	Tetraselmis gracilis	Species	Tetraselmis	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae - Tetraselmis gracilis
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	micropapillata				(Ålvik) Butcher	Gyldig	Ingen_bistatus	Tetraselmis micropapillata	Species	Tetraselmis	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae - Tetraselmis micropapillata
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	rubens				Butcher	Gyldig	Ingen_bistatus	Tetraselmis rubens	Species	Tetraselmis	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae - Tetraselmis rubens
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	striata				Butcher	Gyldig	Ingen_bistatus	Tetraselmis striata	Species	Tetraselmis	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae - Tetraselmis striata
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	tetrathele				(West) Butcher	Gyldig	Ingen_bistatus	Tetraselmis tetrathele	Species	Tetraselmis	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae - Tetraselmis tetrathele
