scientific_name	rank	author	parent	classification	source
Chroococcus microscopicus	Species	Komárk.-Legn. & Cronberg	Chroococcus	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Chroococcus microscopicus	Artsnavnebase 20170303
Chroococcus minimus	Species	(Keissl.) Lemmerm.	Chroococcus	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Chroococcus minimus	Artsnavnebase 20170303
Chroococcus minor	Species	(Kütz.) Nägeli	Chroococcus	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Chroococcus minor	Artsnavnebase 20170303
Chroococcus minutus	Species	(Kützing) Nägeli	Chroococcus	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Chroococcus minutus	Artsnavnebase 20170303
Chroococcus pallidus	Species	(Nägeli) Nägeli	Chroococcus	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Chroococcus pallidus	Artsnavnebase 20170303
Chroococcus planctonicus	Species	Bethge	Chroococcus	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Chroococcus planctonicus	Artsnavnebase 20170303
Chroococcus prescottii	Species	F.E.Drouet & W.A.Daily	Chroococcus	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Chroococcus prescottii	Artsnavnebase 20170303
Chroococcus rufescens	Species	(Kütz.) Nägeli	Chroococcus	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Chroococcus rufescens	Artsnavnebase 20170303
Chroococcus siderochlamys	Species	Skuja	Chroococcus	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Chroococcus siderochlamys	Artsnavnebase 20170303
Chroococcus submarinus	Species	(Hansgirg) Kovácik	Chroococcus	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Chroococcus submarinus	Artsnavnebase 20170303
Chroococcus turgidus	Species	(Kützing) Nägeli	Chroococcus	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Chroococcus turgidus	Artsnavnebase 20170303
Chroococcus turicensis	Species	(Nägeli) Hansg.	Chroococcus	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Chroococcus turicensis	Artsnavnebase 20170303
Chroococcus varius	Species	A.Braun in Rabenh.	Chroococcus	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Chroococcus varius	Artsnavnebase 20170303
Chroococcus westii	Species	Boye-Petersen	Chroococcus	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Chroococcus westii	Artsnavnebase 20170303
Gloeocapsopsis	Genus	Geitler ex Komárek	Chroococcaceae	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Gloeocapsopsis	Artsnavnebase 20170303
Gloeocapsopsis crepidinum	Species	(Thuret) Geitler ex Komàrek	Gloeocapsopsis	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Gloeocapsopsis crepidinum	Artsnavnebase 20170303
Gloeocapsopsis magma	Species	(Brébisson) Komárek & Anagnostidis	Gloeocapsopsis	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Gloeocapsopsis magma	Artsnavnebase 20170303
