kingdom	phylum	class_name	order	family	genus	species	subspecies	variety	forma	author	status	status-2
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ulva	torta				(Mertens) Trevisan	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ulva	rotundata				Bliding	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ulva	pertusa					Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ulva	clathrata/flexuosa					Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ulva	compressa/intestinalis					Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ulva	curvata				(Kütz.) De Toni	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ulva	laetevirens				Aresch.	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ulva	procera				(K.Ahlner) H.S.Hayden, J.Blomster, Maggs, P.C.Silva, M.J.Stanhope & J.R.Waaland	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ulva	procera/prolifera					Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ulva	simplex				(K.L.Vinogr.) H.S.Hayden, J.Blomster, Maggs, P.C.Silva, M.J.Stanhope & J.R.Waaland	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ulva	flexuosa	biflagellata			(Bliding) Bliding	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ulva	flexuosa	paradoxa			(C.Agardh) M.J.Wynne	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ulva	flexuosa	pilifera			(Kütz.) M.J.Wynne	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ruthnielsenia	tenuis				(Kylin) O'Kelly, Wysor & Bellows	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Percursaria	percursa				(C.Agardh) Rosenvinge	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ochlochaete	hystrix				Thwaites in Harvey	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ulvaria	fusca				(Postels & Ruprecht) Vinogradova	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ulvaria	obscura				(Kützing) Gayral ex Bliding	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ulvaria	splendens				(Rupr.) K.L.Vinogr.	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Phaeophilaceae	Phaeophila					Hauck	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Phaeophilaceae	Phaeophila	dendroides				(Crouan & Crouan) Batters	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Phaeophilaceae	Phaeophila	endophytum				(M.Möbius) R.Nielsen	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Kornmanniaceae	Blidingia					Kylin	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Kornmanniaceae	Pseudendoclonium					Wille	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Kornmanniaceae	Tellamia					Batters	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Kornmanniaceae	Kornmannia					Bliding	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Kornmanniaceae	Kornmannia	leptoderma					Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Kornmanniaceae	Tellamia	contorta				Batters	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Kornmanniaceae	Pseudendoclonium	dynamenae				R. Nielsen	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Kornmanniaceae	Pseudendoclonium	fucicola				(Rosenvinge) R. Nielsen	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Kornmanniaceae	Pseudendoclonium	submarinum				Wille	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Kornmanniaceae	Blidingia	chadefaudii				(Feldmann) Blinding	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Kornmanniaceae	Blidingia	marginata				(J.Agardh) Dangeard ex Bliding	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Kornmanniaceae	Blidingia	minima				(Nägeli ex Kützing) Kylin	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Kornmanniaceae	Blidingia	ramifera				(Bliding) Garbary & Barkhouse	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Bolbocoleonaceae	Bolbocoleon					Pringsh.	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Bolbocoleonaceae	Bolbocoleon	piliferum				Pringsheim	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Gayraliaceae	Gayralia					K.L.Vinogr.	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Gayraliaceae	Gayralia	oxysperma				(Kützing) K.L. Vinogradova ex Scagel et al.	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Capsosiphonaceae	Capsosiphon					Gobi	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Capsosiphonaceae	Capsosiphon	fulvescens				(C.Agardh) Setchell & Gardner	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulotrichales	Gomontiaceae						De Toni	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulotrichales	Ulotrichaceae						Kütz.	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulotrichales	Gloeotilaceae						H.Ettl & G.Gärtner	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulotrichales	Cylindrocapsaceae						Wille in Warm.	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulotrichales	Cylindrocapsaceae	Cylindrocapsa					Reinsch	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulotrichales	Cylindrocapsaceae	Cylindrocapsa	conferta				W.West	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulotrichales	Cylindrocapsaceae	Cylindrocapsa	geminella				Wolle	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulotrichales	Cylindrocapsaceae	Cylindrocapsa	involuta				Reinsch	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulotrichales	Gloeotilaceae	Binuclearia					Wittr.	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulotrichales	Gloeotilaceae	Geminella					Turpin	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulotrichales	Gloeotilaceae	Gloeotila					Kütz.	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulotrichales	Gloeotilaceae	Radiofilum					Schmidle	Gyldig	Ingen_bistatus
